Title,URL,Authority,Subjects,Description,Access,Start Date,Location,Reuse,Deposit,Type,Source
Council of European Social Science Data Archives  (CESSDA ),http://www.cessda.org/,"Council of European Social Science Data, cessda, Czech Social Science Data Archive, The Danish Data Archive, Estonian Social Science Data Archive, Finnish Social Science Data Archive, French Data Archives for social sciences, The Greek Social Data Bank, GSDB, Leibniz Institute for the Social Sciences, T�RKI Social Research Institute, Irish Social Science Data Archive, ISSDA, Data  Archive  for  Social  Sciences, Data Archiving and Networked Services, DANS, Norwegian Social Science Data Services, RODA, Romanian Social Data Archive, Swedish National Data Service, Swiss Centre of Expertise in the Social Sciences, FORS, UK Data Archive",Social sciences,CESSDA catalogue provides access to the national social science data archives of the CESSDA members across Europe,open,2006,,restricted; Copyrights - http://www.cessda.org/sharing/rights/,restricted: registration; Copyrights - http://www.cessda.org/sharing/rights/,disciplinary,
CPLA,http://cpla.biocuckoo.org/index.php,University of Science and Technology of China,"Life sciences, Proteins, Lysine",The Compendium of Protein Lysine Acetylation (CPLA) database contains experimentally identified lysine acetylation sites.,Open,2010,China,Open. Citation required.,,Disciplinary,
CR-EST (The IPK Crop EST Database),http://pgrc.ipk-gatersleben.de/cr-est/,"Leibniz Institute of Plant Genetics and Crop Plant Research, Bioinformatics at the IPK",Plant genetics,"The Crop EST Database (CR-EST) is a public available online resource providing access to sequence, classification, clustering, and annotation data of crop EST projects at the IPK. A view of these information give the summarized numbers about genomic data of species listed in the adjacent table. ",open; Copyrights - http://www.ipk-gatersleben.de/index.php?id=14&L=1,2003,Germany,open; Copyrights - http://www.ipk-gatersleben.de/index.php?id=14&L=1,closed,institutional,
CRAWDAD (Community Resource for Archiving Wireless Data At Dartmouth (US-Site)) (Mirror provided by the Systems and Network Data Repository at St Andrews (UK mirror)),http://www.crawdad.org,"National Science Foundation, NSF, Dartmouth College, Center for Mobile Computing, SIGMOBILE, ACM SIGMOBILE, Association for Computing Machinery, Special Interest Group on Mobility of Systems, Users, Data, and Computing , SIGCOMM, ACM SIGCOMM, Association for Computing Machinery, Special Interest Group on Data Communication, Aruba Networks, INTEL, INTEL Corporation",Computer science,"CRAWDAD  is the Community Resource for Archiving Wireless Data, a wireless network data resource for the research community. This archive has the capacity to store wireless trace data from many contributing locations, and staff to develop better tools for collecting, anonymizing, and analyzing the data. We work with community leaders to ensure that the archive meets the needs of the research community.",open,2005,,restricted; other - CRAWDAD Data License,restricted: registration; CRAWDAD Data License - http://uk.crawdad.org/registration.php,disciplinary,
Crustal Dynamics Data Information Systems (CDDIS),http://cddis.gsfc.nasa.gov/,"National Aeronautics and Space Administration, NASA, NASA Goddard Space Flight Center, International ",,"The Crustal Dynamics Data Information System (CDDIS) supports data archiving and distribution activities for the space geodesy and geodynamics community. The main objectives of the system are to store space geodesy and geodynamics related data products in a central data bank, to maintain information about the archival of these data, and to disseminate these data and information in a timely manner to NASA investigators and cooperating institutions.",open,1982,United States,open; other - Licensing Agreements,open,disciplinary,
CrystalEye (beta) (CrystalEye),http://wwmm.ch.cam.ac.uk/crystaleye/,"University of Cambridge, Department of Chemistry, Center For Molecular Sciences Informatics, Unilever Center f�r Molecular Science Informatics",Chemistry,"The aim of the CrystalEye project is to aggregate crystallography from web resources, and to provide methods to easily browse, search, and to keep up to date with the latest published information.At present we are aggregating the crystallography from the supplementary data to articles at publishers websites.",open,2005,United Kingdom,open; ODC - http://opendatacommons.org/licenses/pddl/1-0/,closed,disciplinary,
Crystallography Open Database,http://www.crystallography.net/,COD Advisory Board,"Crystallography, Polymorphism (Crystallography), Crystals--Models, Organic compounds","The Crystallography Database is an open-access collection of crystal structures of organic, inorganic, metal-organic compounds and minerals, excluding biopolymers.",Open,2003,Lithuania,Open,Accepting data for deposit,Disciplinary,
CRYSTMET,http://www.tothcanada.com/databases.htm,National Research Council of Canada,Crystallography,"CRYSTMET contains chemical, crystallographic and bibliographic data together with associated comments regarding experimental details for each study. Using these data, a number of associated files are derived, a major one being a parallel file of calculated powder patterns. These derived data are included within the CRYSTMET product. This database is embedded in a generalized crystallographic database software environment. This environment provides all the necessary tools for database searching, data analysis and manipulation, crystallographic visualization and associated statistical graphics. All databases within this environment are of a relational type and use the Microsoft Jet relational engine.",Closed,1996,Canada,http://www.tothcanada.com/crystmet/setup.zip,,Disciplinary,
CSIRO Data Access Portal,http://data.csiro.au/dap/,"Australian National Data Service, ANDS, CSIRO Australia, Commonwealth Scientific and Industrial Research Organisation Australia, Education Investment Fund, EIF","Zoology, Biology, Life sciences","The CSIRO Data Access Portal provides access to data published by CSIRO across a range of disciplines to facilitate sharing and reuse of data held by CSIRO
  ",open; Copyrights - https://data.csiro.au/dap/copyright,2010,Australia,restricted; CC - https://creativecommons.org/; other - CSIRO Data Licence,restricted: registration,institutional,
CUAHSI HIS,http://his.cuahsi.org/,San Diego Supercomputer Center (SDSC),"Hydrology, Water, Ocean, Seas, Aquatic sciences, Hydrography","CUAHSI aims to assist the water science community in understanding the central role of water to life, Earth, and society, with a focus on water from bedrock to atmosphere and from the past into the future.",Open,2001,United States,Open,Open; see http://his.cuahsi.org/datapublishers.html for information,Disciplinary,
CUAHSI Water Data Center,http://wdc.cuahsi.org/,National Science Foundation (NSF),Hydrologic cycle--Data processing,"The CUAHSI Hydrologic Information System (HIS) is an internet based system for sharing water data. The system employs a service oriented architecture (SOA) that is similar to the way in which many federal government agencies transmit their data. It is comprised of data servers and client software for data publication, sharing, visualization and analysis. The goals of the CUAHSI-HIS are to unite the nation's water information, to make it universally accessible and useful, and to provide access to the data sources, tools and models that enable the synthesis, visualization and evaluation of the behavior of hydrologic systems. In 2013, CUAHSI received additional funding to establish a formal facility, the Water Data Center, to maintain and build upon the success of the CUAHSI-HIS.",Open/Closed,2008,United States,,,Governmental/Disciplinary,
Cultural Policy and the Arts National Data Archive,http://www.cpanda.org/cpanda/,"Princeton University, National Endowment for the Arts","Arts, Performing arts, Artists, Cultural awareness, Cultural policy, Art--Economic aspects, Culture--Economic aspects, Press, Architecture, Decorative arts, Art literature, Multimedia (Art), Music, Opera, Performance art, Theater, Folk art","CPANDA strives to acquire, archive, document, and preserve data sets on topics in art and cultural policy, including arts funding, arts education, the arts and economic development, public participation in the arts, and attitudes towards the arts. Data is provided in a user-friendly format for scholars, journalists, policy makers, artists, and cultural organizations.",Open,2001,United States,Non-commercial uses; see http://www.cpanda.org/cpanda/about/policies#data for more information,Open; see http://www.cpanda.org/cpanda/help for more information,Disciplinary,
"CyberCell Database, The",http://ccdb.wishartlab.com/CCDB/,University of Alberta,"Escherichia coli, Enzymes, Biology, Chemistry, Genetics, Molecular biology","The CyberCell Database (CCDB) is a collection of detailed enzymatic, biological, chemical, genetic, and molecular biological data about E. coli (strain K12, MG1655). It is intended to provide sufficient information and querying capacity for biologists and computer scientists to simulate all or part of a bacterial cell at a nanoscopic (10-9 m), mesoscopic (10-8 m) and microscopic (10-6 m) level.",Open,2004,Canada,Citation required: http://ccdb.wishartlab.com/CCDB/,Accepting data for deposit,Disciplinary,
Czech Social Science Data Archive (CSDA),http://archiv.soc.cas.cz/articles/en/2/DATA.html,"Institute of Sociology of the Academy of Sciences of the Czech Republic, ASCR, Ministry of Education, Youth and Sports",Social sciences,"The Czech Social Science Data Archive (CSDA) of the Institute of Sociology of the Academy of Sciences of the Czech Republic accesses, processes, documents and stores data files from social science research projects and promotes their dissemination to make them widely available for secondary use in academic research and for educational purposes.",open,2011,Czech Republic,restricted; other - http://archiv.soc.cas.cz/articles/en/2/DATA.html#artID501; other - http://archiv.soc.cas.cz/registrace/en,restricted: registration; other - http://archiv.soc.cas.cz/download/1900/Formular%20pro%20depozitory%20CSDA.doc,disciplinary,
Danish Data Archive (Dansk Data Arkiv),http://samfund.dda.dk/dda/default-en.asp,The National Archives Denmark,"Psychology, Social policy research, Demography, Medical sciences, Social sciences, Transportation, Education, Economics","The National Archives of Denmark maintains collections of primarily survey-based datasets from the 1960's to the present (approximately 2,000 as of March 2014). Users of the datasets come from the social sciences and medical sciences. Studies can be browsed by topic and subtopic as well as searched by keywords, variables, and other ontological means. ",Access varies; general data can be ordered for academic use,1973,Denmark,Mostly closed access,Open for academic and research purposes,Federal,
Danish Data Archive (DDA),http://samfund.dda.dk/dda/om-dda-en.asp,"Danish Data Archives, DDA","Medicine, History, Social sciences","The Danish Data Archive (DDA) is the national social science data archive. DDA is primaily used by researchers and students wanting access to data materials created by Danish researchers or about Denmark.
DDA is dedicated to the acquisition, preservation and dissemination of (primarily) quantitative data created by researchers from social science, health science and history. ",open,,Denmark,restricted; other - http://samfund.dda.dk/dda/dokumenter/Rek_uk.pdf,restricted: other; Depositorform - http://samfund.dda.dk/dda/Depositorform.doc,institutional,
DARECLIMED (Cyprus Institute Data Repository),http://www.cyi.ac.cy/dareclimed-data-repository.html,The Cyprus Institute,"Agriculture, Climatology, Water, Hydrology, Land use, Population, Economics, Forest fires--Environmental aspects","DARECLIMED data repository consists of three kind of data: (a) climate, (b) water resources, and (c) energy related data. The first part, climate datasets, will include atmospheric and indirect atmospheric data, proxies and reconstructions, terrestrial and oceanic data. Land use, population, economy and development data will be added as well. Datasets can be handled and analyzed by connecting to the Live Access Server (LAS), which enables to visualize data with on-the-fly graphics, request custom subsets of variables in a choice of file formats, access background reference material about the data (metadata), and compare (difference) variables from distributed locations. Access to server is granted upon request by emailing the data repository manager.",By request,2011,Cyprus,,,Institutional/Disciplinary,
DARIS (Data and Research Information Services),http://www2.unil.ch/daris/,"FORS, swiss foundation for research in social sciences, Swiss Academy of Humanities and Social Sciences, Council of European Social Science Data Archives, cessda","Medicine, Jurisprudence, Economics, Social sciences","DARIS is a resource centre for research and teaching in the social sciences. It maintains a comprehensive and up-to-date inventory of social science research projects in Switzerland. In addition, our data service makes available a wide range of datasets for secondary analysis. ",open,2009,,open; other - http://www2.unil.ch/fors/spip.php?rubrique26&lang=de,restricted: other; Deposit data - http://www2.unil.ch/daris/spip.php?rubrique57&lang=en,disciplinary/institutional,
DARTS (ISAS Data Archive and Transmission System) (World Data Center for Space Science Satellites),http://www.darts.isas.jaxa.jp/,"Center for Science-satellite Operation and Data Archive, C-SODA, Japan Aerospace Exploration Agency, Institute of Space and Astronautical Science, JAXA ISAS",,"DARTS primarily archives high-level data products obtained by JAXA's space science missions in astrophysics (X-rays, radio, infrared), solar physics, solar-terrestrial physics, and lunar and planetary science. In addition, we archive related space science data products obtained by other domestic or foreign institutes, and provide data services to facilitate use of these data.",open,2000,Japan,restricted; other - Conditions for material use,closed,disciplinary,
"Das Deutsche Referenzkorpus (DeReKo) (COSMAS Corpora) (Corpus Search, Management and Analysis System) (Das Portal f�r die Korpusrecherche in Textkorpora des Instituts f�r Deutsche Sprache)",http://www.ids-mannheim.de/kl/projekte/korpora/,"Institut f�r Deutsche Sprache, Programmbereich Korpuslinguistik, Ministerium f�r Wissenschaft, Forschung und Kunst Baden-W�rttemberg, MWK-BW",Linguistics,"The project is set up in order to improve the infrastructure for text-based linguistic research and development by building a huge, automatically annotated German text corpus and the corresponding tools for corpus annotation and exploitation.  DEREKO currently comprises 7.3 billion words and constitutes the largest linguistically motivated
collection of contemporary German texts, contains fictional, scientific and newspaper
texts, as well as several other text types, contains only licenced texts, is encoded with rich meta-textual information, is fully annotated morphosyntactically
(three concurrent annotations), is continually expanded, with a focus on size and stratification of data, may be analyzed free of charge via the query
system COSMAS II, serves as a 'primordial sample' from which users may draw specialized sub-samples (socalled 'virtual corpora') to represent the language
domain they wish to investigate. ",restricted,2003,Germany,restricted; Copyrights - http://www.ids-mannheim.de/kl/projekte/korpora/akquisition.html#Urheberrechte; Copyrights - http://www.ids-mannheim.de/cosmas2/projekt/registrierung/,closed,disciplinary/other,
Data Archives and Transmission System (DATS),http://www.darts.isas.jaxa.jp/,Institute of Space and Astronautical Science,"Solar-terrestrial physics, X-rays, Astrophysics, Space sciences, Astronomy, Earth sciences, Physics, Solar activity, Planetary scientists, Satellites","The Data Archives and Transmission System (DARTS) archives high-level data products obtained by JAXA's space science missions in astrophysics (X-rays, radio, infrared), solar physics, solar-terrestrial physics, and lunar and planetary science. DARTS is developed and maintained by the Center for Science-satellite Operation and Data Archive (C-SODA) at ISAS/JAXA.",Open,1983,Japan,Provide acknowledgement - http://www.darts.isas.jaxa.jp/about.html.en,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
Data Archiving and Network Services (DANS),http://www.dans.knaw.nl/en/content/data-archive,"The Royal Netherlands Academy of Arts and Sciences, The Netherlands Organisation for Scientific Research (NWO)","Data archives, Statistics, Sociology, Education, Imaging systems, Geographic information systems, Population, Archives, Social sciences, Humanities","Promotes sustained access to digital research data relating to scientific databases and e-publications. DANS and the Electronic Archiving System (EASY) ontains thousands of datasets in the fields of humanities, archaeology, geospatial sciences and behavioural and social sciences. Contracts have been concluded with various institutions, such as the Netherlands Organisation for Scientific Research (NWO), the Dutch Land Registry Office (Kadaster), Statistics Netherlands (CBS) and the national government, with regard to the delivery of new data for scientific research.",Open,,Netherlands,Open,Open - http://www.dans.knaw.nl/en/content/data-archive/depositing-data,Governmental,
"Data Bank, The",http://www.npdb-hipdb.hrsa.gov/,"U.S. Department of Health and Human Services-Bureau of Health Professions, Health Resources and Services Administration [Washington D.C.]","Health, Physician and patient, Malpractice, Dental care","The Data Bank, consisting of the National Practitioner Data Bank (NPDB) and the Healthcare Integrity and Protection Data Bank (HIPDB), is a confidential information clearinghouse created by Congress to improve health care quality, protect the public, and reduce health care fraud and abuse in the United States.

NPDB is intended to improve the quality of health care by encouraging State licensing boards, hospitals, professional societies, and other health care organizations to identify and discipline those who engage in unprofessional behavior; to report medical malpractice payments; and to restrict the ability of incompetent physicians, dentists, and other health care practitioners to move from State to State without disclosure or discovery of previous medical malpractice payment and adverse action history.

Information available through NPDB includes reports on all licensure actions taken against all health care practitioners, not just physicians and dentists, as well as health care entities. Peer Review Organizations and Private Accreditation Organizations must report any negative actions or findings taken against health care practitioners or organizations. Queriers have access to State licensure actions taken against all health care practitioners.

The HIPDB is a national data collection program for the reporting and disclosure of certain final adverse actions taken against health care practitioners, providers, and suppliers. The HIPDB collects information regarding licensure and certification actions, exclusions from participation in Federal and State health care programs, health care-related criminal convictions and civil judgments, and other adjudicated actions or decisions as specified in regulation.     	 	",Open,1986/1996,United States,open access to statistical data only-http://www.npdb-hipdb.hrsa.gov/resources/aboutResources.jsp /licensed healthcare organizations and government agencies,"Individuals with affiliation with and/or membership in: Federal & State government agencies, health plans, health care licensing and certification authorities, practitioner peer review organizations",governmental/disciplinary,
Data Basin,http://www.databasin.org/,"Conservation Biology Institute [Corvallis, OR]","Temperature measurements, Precipitation (Meteorology), Land use, Lakes, Rivers, Water table, Climatology, Ecological surveys, Ecological mapping, Conservation of natural resources, Weather, Meteorology, Biodiversity, Natural resources, Ecology","Data Basin provides a free online system to connect users with scientific expertise to support the conservation and recovery of biological diversity through the use of datasets, maps and scientific conservation data. Data Basin is a central community for the sharing of information from various individuals, institutions and disciplines. Accessible data can be used to create data visualizations which will then be made available to all members of the Data Basin community.",Open,NA,United States,Open - http://www.databasin.org/about#Q8,Accepting data for deposit by registered users - http://app.databasin.org/app/pages/createAccountPage.jsp,Disciplinary,
Data Center for Aurora in NIPR (Polar Data Center) (WDC for Aurora) (World Data Center for Aurora),http://polaris.nipr.ac.jp/~aurora/,"National Institute of Polar Research, Polar Data Center, ICSU World Data Center System","Geophysics, Physics","The Data Center for Aurora in NIPR is responsible for data archiving and dissemination of all-sky camera observations, visual observations, other optical observations (such as TV and photometric observations), auroral image and particle observations from satellites, geomagnetic observations, and observations of upper atmosphere phenomena associated with aurora such as ULF, VLF and CNA activities.
This Data Catalogue summarizes the collection of data sets, data books, related publications and facilities available in the WDC  for Aurora as of Dexember 2003. ",open,2008,,restricted; Copyrights - http://www.nipr.ac.jp/english/terms.html; other - http://www.nipr.ac.jp/english/polar-information01.html,closed,disciplinary/institutional,
"Data Center for Geography, Moscow (Center of World Data System of Geography)",http://www.eng.geogr.msu.ru/structure/WDS/,"Lomonosov Moscow State University, Faculty of Geography, MSU",Geography,"Data Center of Geography was created in 2011 in the framework of the interdisciplinary structure � world data systems � to ensure gathering, processing and conversion of data and to solve fundamental and applied problems in the sphere of geographical sciences. ",open,2011,Russia,restricted; other - WDS Policy,closed,disciplinary,
Data Portal India,http://www.data.gov.in/,"National Informatics Centre (NIC), Government of India (GoI).","India, Government Web portals, Security (Law), Family, Industry and education, Commerce, Technology, Science and industry, Biotechnology, Public administration, Public investments, Economics, Demography, Agriculture, Education, Energy conservation, Health, Infrastructure (Economics), Social ecology","The Portal is intended to be used as catalog of datasets published by ministries/ department/ organizations of Government of India for public use, in order to enhance transparency in the functioning of the Government as well as to make innovative visualization of dataset. This National Data Portal is being updated frequently to make it as accessible as possible and completely accessible to all irrespective of physical challenges or technology.",Open,2012,India,http://www.data.gov.in/search/apachesolr_search,"Ministries,  department,  organizations of Government of India and authenticated users only - http://datacms.nic.in ",Governmental/Multidisciplinary,
Data Portal OpenGovData.ru,http://www.opengovdata.ru/,Government of Russia and Information Culture,"Government information, Societies, Economics, Budget, Banks and banking, Public administration, Public service interpreting, Standardization--Information services, Education and state, Social accounting","OpenGovData.ru is a government project in partnership with Information Culture, dedicated to the availability of the information disclosed by the State to its citizens. It is intended to have the availability of information for the social commons.",Open,2011,Russia,Open; http://hub.opengovdata.ru/group/webarchive,Closed.,Governmental,
Data Service Center for Business and Organizational Data,http://www.uni-bielefeld.de/(en)/dsz-bo/,"Universit�t Bielefeld, Fakult�t f�r Soziologie, Data Service Center for Business and Organizational Data, DSC-BO",Social sciences,"The Data Service Centre at the University of Bielefeld is a central archive for quantitative and qualitative data that relate to organizations. In addition to data on businesses and organizations, this includes linked employer-employee data as well as data from member or employee surveys. The organizational units can be establishments and businesses, but also public associations, kindergartens, schools, or public health facilities. The DSC-BO co-ordinates the data circulation and provides the facility of getting access to data sets and transcripts for secondary use regarding to scientific purposes on the base of contracts with the data producers.",open,2010,Germany,restricted; other - http://www.ratswd.de/download/publikationen_rat/RatSWD_FDZKriterien.PDF; Copyrights - http://www.uni-bielefeld.de/Universitaet/impressum.html,restricted: other,disciplinary,
Data Sharing for Demographic Research (DSDR),http://www.icpsr.umich.edu/icpsrweb/DSDR/,"Inter-university Consortium for Political and Social Research (ICPSR) at the Institute for Social Research, the University of Michigan","Health, Family, Population, Fertility, Mortality, Demography, Demographic surveys, Immigrants, Migrations of nations, Statistics, Social sciences, Humanities","Data Sharing for Demographic Research (DSDR) aims to serve the demographic community by archiving, preserving, and disseminating data relevant for population studies. Study subjects include fertility, mortality, health, family and household structure, migration and immigration, population characteristics, and population growth and decline.",Open (some data may be restricted) - http://www.icpsr.umich.edu/icpsrweb/content/DSDR/restricted-data.html,,United States,Open,Accepting data for deposit - http://www.icpsr.umich.edu/icpsrweb/content/DSDR/deposit.html,Disciplinary,
Data Sharing Infrastructure of Earth System Science,http://www.geodata.cn/,"Institute of Geographic Sciences and Natural Resources Research,CAS",Geographic information systems--Computer network resources,"Data Sharing Infrastructure of Earth System Science provides five topic data resource, including: the relationship between people and land surface processes , the typical area, the Sun-Earth system and the space environment, comprehensive integration and earth system science data and data abroad. These data resources are mainly distributed in the Chinese Academy of Sciences, universities and various research focused on major research projects.",Open,2004,China,,,Governmental/Disciplinary,
"Data Web, The",http://dataferrett.census.gov/about.html,U.S. Census Bureau [Washington D.C.],"Poverty, Income distribution, Social status, Economics--Statistics, Population, Computer network resources, Census districts, Census, Social sciences, Humanities, Business, Geography, Data archives","TheDataWeb is a network of online data libraries and an infrastructure for intelligent browsing. TheDataweb provides easy access to census data from disparate locations across the internet using DataFerrett as its interface. It brings together demographic, economic, environmental, health, and other datasets that are usually separated by geography and/or organization.	 	",Open,1942,United States,Open,,governmental,
Data.gov,https://explore.data.gov/,United States Government,"Communication, Transportation, Culture, Ocean, Diseases, Health, Agriculture and state, Economics, Business, Climatology, Atmosphere, Politics and culture, Ecology, Biology, Data archives, Earth sciences, Social sciences","Data.gov is part of the Open Government Initiative and allows for the public to find, download, and use datasets generated by the federal government. Its primary goal is to expand creative use of the government data by encouraging innovative ideas.",Open,,United States,Open,,Governmental,
Data.gov.au,http://data.gov.au/,Australian Government,"Law, Industries, Communication, Culture, Education, Employment (Economic theory), History, Business, Political science, Government information, Technology, Societies, Public safety, Politics and culture, Science, Transportation, Tourism, Social sciences, Humanities, Health, Demography, Geography, Finance","Data.gov.au provides public access, download, and reuse to raw data from the Australian Government, state and territory governments.  Data.gov.au encourages user feedback and suggestions.  Site upgrades and new features will be made over time.",Open,2011,Australia,Open,Membership in Australian governmental agency,Governmental,
Data.gov.uk,http://data.gov.uk/,Government of the United Kingdom,"Community, Culture, Education, Budget, Political science, Demography, Transportation, Communication, Business, Social sciences, Health, Census, Expenditures, Public, Politics and culture, Science, Societies, Public safety, Tourism, Technology, Law, Industries, History, Government information, Geography, Finance, Employment (Economic theory)","Data.gov.uk is opening up its data for other people to re-use. Data.gov.uk only provides non-personal, non-sensitive data such as crime rates.  Data.gov.uk to create a network of re-useable government data.  Datasets are published on data.gov.uk primarily from public sector organizations.",Open,2010,United Kingdom,Open (Open Government License),"Closed (Responsible organization only, no outside submissions)",Governmental,
Database of Genomic Variants (DGV),http://dgvbeta.tcag.ca/dgv/app/home?ref=NCBI36/hg18,The Centre for Applied Genomics,"Bioinformatics, Genomics, Genetics, Gene expression, Genomes, Chromosome abnormalities, Human genome, Variation (Biology), DNA, Statistics, Chromosomes, Phenotype",The Database of Genomic Variants (DGV) provides control data for studies aiming to correlate genomic variation with phenotypic data.  DGV is continuously updated with new data from peer reviewed research studies.  DGV's data sources are the European Bioinformatics Institute (EBI) and National Center for Biotechnology Information (NCBI).,Open,2008,Canada,Open - http://www.tcag.ca/projects/databaseDisclaimer.html,Closed - http://dgvbeta.tcag.ca/dgv/app/submissions,Disciplinary,
Database of Genomic Variants (DGV) Archive,http://www.ebi.ac.uk/dgva/,"European Bioinformatics Institute [Cambridge, UK]","Biology, Genomes, Molecular biology, DNA, Biochemistry, Gene expression, Genetics, Gene mapping, Genomics, Biotechnology, Bioinformatics",The Database of Genomic Variants archive provides curated archiving and distribution of publicly available genomic structural variants. Direct submissions are accepted as well as published data.,Open,,United Kingdom,Open - http://www.ebi.ac.uk/dgva/data-download,Accepting data for deposit - http://www.ebi.ac.uk/dgva/data-submission,Disciplinary,
Database of Interacting Proteins (DIP),http://dip.doe-mbi.ucla.edu/dip/Main.cgi,University of California,"Biology, Protein-protein interactions, Organisms, Biochemistry, Systems biology, Protein binding, Proteins","The Database of Interacting Proteins (DIP) catalogs experimentally determined interactions between proteins. Information from a variety of sources is combined to create a single, consistent set of protein-protein interactions that can be downloaded in a variety of formats.",Registered users only - http://dip.doe-mbi.ucla.edu/dip/Login.cgi?R=1,1999,United States,,Open - http://dip.doe-mbi.ucla.edu/dip/Submissions.cgi,Disciplinary,
Database of Protein Disorder (DisProt),http://www.disprot.org/,"Indiana University School of Medicine, Temple University","Disabilities, Life sciences, Molecular biology, Ontology, Protein deficiency, DNA, Protein binding, Biochemistry, Biology, Protein-protein interactions, Proteins","The Database of Protein Disorder (DisProt) provides information about proteins that lack fixed 3D structure in their putatively native states, either in their entirety or in part. Includes cross-references to the literature.",Open,2005,United States,Open,"Closed (Responsible organization only, no outside submissions)",Disciplinary,
Database on Indian Economy (DBIE),http://dbie.rbi.org.in,Reserve Bank of India (RBI),"Statistics, India, Economics, Economics, Finance, Industrial statistics, Money market, Monetary policy, Banking law--Indian states, National income, Equity, Money","DBIE is a data warehouse of the Department of Statistics and Information Management (DSIM), under the Reserve Bank of India. It disseminates data on various aspects of the Indian Economy through several of its publications, by means of it’s three parts – namely has mainly three parts Home, Statistics and Time-series Publications. Again, Home is divided into two parts viz. Important Economic Indicators & Economy at a Glance through dashboards. The entire statistics have been presented in seven subject areas - Real Sector, Corporate Sector, Financial Sector, Financial Market, External Sector, Public Finance, Socio-Economic Indicators. Sectors have different sub-sectors and reports under the sub-sectors have been organized on periodicity wise. Downloading of data can be possible into Excel, CSV, PDF formats. User can use the data for their research work with courtesy to the Database on Indian Economy, Reserve Bank of India.",Open Access,2001,India,Open - http://dbie.rbi.org.in/DBIE,Closed,Governmental & Institutional,
DataBasin (Data Basin),http://databasin.org,"Conservation Biology Institute, Bridging conservation science and practice, CBI, Wilburforce Foundation, The Kresge Foundation","Zoology, Biology","Data Basin is a science-based mapping and analysis platform that supports learning, research, and sustainable environmental stewardship.",open; Copyrights - http://consbio.org/general/pages/terms-and-conditions,2009,United States,restricted; other - http://databasin.org/about; CC - http://creativecommons.org/licenses/by/3.0,restricted: other; Processing and Uploading Data - http://databasin.org/services/processing-uploading/,disciplinary,
DataBox,http://www.kb.dk/data,The Royal Library,,Multidisciplinary cross-institutional repository for researchers and research groups of The University of Copenhagen.,"Some open, some closed",2012,Denmark,,Researchers at The University of Copenhagen,Institutional,
Databrary,http://databrary.org/,New York University,"Human beings--Psychology, Behavioral assessment, Psychology, Health, Child development, Developmental biology, Science and civilization","Databrary is a data library for researchers to share research data and analytical tools with other investigators. It is a web-based repository for open sharing and preservation of video data and associated metadata in the area of developmental sciences. The project aims to increase the openness in scientific research and dedicated to transforming the culture of developmental science through building a community of researchers empowering them with an unprecedented set of tools for discovery. Databry is complemented by Datavyu (an open source video-coding software) as well as Labnanny (a data management system to enable data-sharing). So any contributor can share raw digital video files, other data streams.",Open with free registration,2012,United States,Open; https://github.com/databrary/policies,Open with free registration; http://databrary.org/about/,Disciplinary,
DataFed,http://datafed.net,"Center for Air Pollution Impact and Trend Analysis (CAPITA), Washington University","Atmospheric aerosols, Atmosphere, Air quality management--Analysis, Air quality management, Air quality, Aerosols","The federated data system DataFed is a web-based software for accessing and analysis of distributed spatio-temporal data. The DataFed server facilitates standards-based access to heterogeneous, distributed Earth Observation data. The main resource of DataFed is access to over 50 distributed, air-quality relevant datasets. The DataFed client components are software tools for data browsing and and analysis using the standards-based interfaces.",Open,1995,,,Closed,Disciplinary,
DataFirst,http://www.datafirst.uct.ac.za/,University of Cape Town,"History, Communication, Health, Public safety, Environmental sciences, Natural areas, Psychology, Education, Law, Demography, Political science, Politics and culture, Culture, Societies, Employment (Economic theory), Labor, Markets, Industries, Social stratification, Social sciences, Transportation, Housing, Economics, Census, Population, Health surveys, Demographic surveys, Surveys, South Africa","DataFirst primarily contains unit record data from survey research, specifically of South Africa and the African region. Over 100 datasets are available publicly, many from Statistics South Africa. Time coverage is from 1970 to present.",Open and closed,2009,South Africa,The data may be reused for research,Data deposits are accepted if these can be shared for research,Disciplinary/Regional,
"DataHub, The",http://thedatahub.org,The Open Knowledge Foundation,Data archives,"The DataHub is a data registry and repository maintained by the non-profit Open Knowledge Foundation using its open-source data hub software, CKAN. Anyone can link or upload datasets. Research datasets can bundle published papers with their raw data and source code, give the authors and other researchers an API onto the data, provide data visualisations on web page, and more. Currently houses approximately 4,000 datasets from a variety of disciplines and sources.",Open,,,Open,Accepting data for deposit (private submissions welcome),Multidisciplinary,
DataONE (Data Observation Network for Earth),http://www.dataone.org,"National Science Foundation, NSF, University of New Mexico, Oak Ridge Campus, University of California Santa Barbara",,"Data Observation Network for Earth (DataONE) is the foundation of new innovative environmental science through a distributed framework and sustainable cyberinfrastructure that meets the needs of science and society for open, persistent, robust, and secure access to well-described and easily discovered Earth observational data.
Supported by the U.S. National Science Foundation (Grant #OCI-0830944) as one of the initial DataNets, DataONE will ensure the preservation, access, use and reuse of multi-scale, multi-discipline, and multi-national science data via three primary cyberinfrastucture elements and a broad education and outreach program.
    ",open,2009,United States,restricted; other - http://www.dataone.org/citing-dataone,closed,disciplinary,
